R1;CUPS;Número (ID5);Póliza;Autoconsumo;CAU;Es servicios auxiliares;Coordenada X;Coordenada Y;Coordenada Z;Nudo;Provincia;Municipio;Parroquia/población;CT AA conectividad;Línea;Tramo;Fase;Tensión alimentación (kV);Tipo instalación (conexión);Pot. contratada (kW);Pot. máxima;Potencia instalada (adscrita) (kW);Tarifa;Tipo equipo medida;Fecha de instalación equipo de medida;Código CNAE;Casa cerrada;Fecha alta contrato;Fecha baja contrato;Observaciones;Coordenada X Z29;Coordenada Y Z29;Coordenada X Z31;Coordenada Y Z31;Sustituye a;Sustituido por;Inspección;CT AA manual;Excluido conectividad;Digitalizar;infra_id
R1-112;ES0157000001701998PS0F;KAM0030989564;1701998;;;;335508,355;4082671,05;448,518;0484562705LB368756766;Málaga;Ardales;;;112.LBT.D100000002;112.BTV.D100000552;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;31/05/2021 2:00;;;870332,2;4089145,69;-199821,209;4109936,878;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000010300201RJ0F;KAM0026733863;10300201;;;;335556,356;4082855,05;429,18;0484512862LB368773428;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000518;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;02/08/2022 12:58;;;870368,591;4089332,597;-199761,348;4110118,511;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000010300205RV;KAM0020239410;10300205;;;;335573,356;4082845,05;431;0484493579LB368772557;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000516;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;03/11/2022 14:05;;;870386,209;4089323,673;-199744,92;4110107,395;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000010300208RC;29577465;10300208;;;;335580,356;4082842,05;431;0484485663LB368772298;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000515;;0,23;Fachada;3,45;;;2.0TD;MEC;;9820;0;31/05/2021 21:58;;;870393,394;4089321,115;-199738,085;4110103,939;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000010300211WT0F;(error consulta Clientes);10300211;;;;335602,355;4082829,04;440;0484460709LB368771165;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000487;;0,23;Fachada;0;;;;;;;;;;;870416,198;4089309,498;-199716,83;4110089,484;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000010300212WR;KAM0027613175;10300212;;;;335606,355;4082828,05;440;0484456202LB368771082;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000488;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;21/06/2022 10:57;;;870420,258;4089308,761;-199712,879;4110088,237;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000010300214WA;KAM0027613555;10300214;;;;335618,355;4082820,05;440;0484442570LB368770382;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000491;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870432,754;4089301,521;-199701,342;4110079,445;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000010300218WF;KAM0027614060;10300218;;;;335647,355;4082797,04;451;0484409548LB368768360;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000484;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870463,184;4089280,35;-199673,696;4110054,509;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000010300219WP;14698000;10300219;;;;335653,355;4082793,04;447;0484402732LB368768010;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000483;;0,23;Fachada;2,3;;;2.0TD;MEC;;9820;0;31/05/2021 21:58;;;870469,432;4089276,73;-199667,928;4110050,113;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000010300222WB;14697796;10300222;;;;335665,355;4082783,04;457;0484389058LB368767130;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000471;;0,23;Fachada;3,45;;;2.0TD;MEC;;9820;0;31/05/2021 21:58;;;870482,054;4089267,492;-199656,518;4110039,314;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000010300223WN;(error consulta Clientes);10300223;;;;335668,355;4082780,04;457;0484385628LB368766865;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000472;;0,23;Fachada;0;;;;;;;;;;;870485,241;4089264,683;-199653,697;4110036,113;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000010300225WZ;KAM0027613174;10300225;;;;335676,355;4082773,04;448;0484376504LB368766248;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000474;;0,23;Fachada;4,6;;;2.0TD;SMT;;9820;0;26/08/2021 12:03;;;870493,677;4089258,191;-199646,112;4110028,579;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000010300229WH;KAM0019150262;10300229;;;;335650,355;4082788,04;447;0484405988LB368767555;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000477;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870466,749;4089271,545;-199671,256;4110045,285;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000010300230WL0F;KAM0020239399;10300230;;;;335640,355;4082795,04;451;0484417355LB368768168;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000479;;0,23;Fachada;2,3;;;2.0TD;SMT;;9820;0;25/08/2022 12:37;;;870456,314;4089277,911;-199680,849;4110052,946;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000010300235AR0F;KAM0027613111;10300235;;;;335582,355;4082833,05;440;0484483226LB368771491;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000500;;0,23;Fachada;2,3;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870395,958;4089312,247;-199736,65;4110094,779;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000010300238AG0F;KAM0020239317;10300238;;;;335552,356;4082834,05;431;0484516892LB368771529;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000506;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870365,915;4089311,358;-199766,696;4110097,687;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000010300240AY0F;KAM0027613728;10300240;;;;335542,356;4082833,05;436;0484528086LB368771421;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000508;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870355,984;4089309,729;-199776,797;4110097,319;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000010300241AF0F;KAM0027613915;10300241;;;;335536,356;4082832,05;436;0484534793LB368771321;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000509;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870350,051;4089308,352;-199782,882;4110096,696;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000010300243AD0F;KAM0019150154;10300243;;;;335514,356;4082830,05;434;0484559423LB368771102;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000512;;0,23;Fachada;2,3;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870328,19;4089304,969;-199805,091;4110096,085;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000010300244AX;KAM0027613112;10300244;;;;335554,356;4082850,05;427,792;0484514996LB368772974;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000519;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870366,907;4089327,474;-199763,673;4110113,62;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000010301627VJ0F;KAM0027612250;10301627;;;;335724,353;4082521,04;437;0484317217LB368743627;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D200000338;;0,23;Subterránea;8,8;;;2.0TD;SMT;;143;0;27/05/2022 12:14;;;870557,505;4089009,368;-199613,936;4109772,6;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000010301987XM0F;KAM0029577462;10301987;;;;335654,355;4082730,04;460;0484400246LB368762336;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.PC40000001;;0,23;Subterránea;3,45;;;2.0TD;SMT;;9820;0;07/07/2022 9:55;;;870474,397;4089213,833;-199670,924;4109986,817;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000010301996XZ0F;KAM0030989565;10301996;;;;335631,355;4082809,05;439,535;0484427752LB368769414;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000486;;0,23;Fachada;4,6;;;2.0TD;SMT;;9820;0;08/07/2021 14:25;;;870446,438;4089291,346;-199688,992;4110067,579;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000010302046NH0F;(error consulta Clientes);10302046;;;;335573,355;4082835,05;431;0484493363LB368771656;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000501;;0,23;Fachada;0;;;;;;;;;;;870386,838;4089313,679;-199745,556;4110097,358;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000010400256GH;KAM0026733754;10400256;;;;335605,355;4082803,05;443,945;0484456781LB368768828;Málaga;Ardales;;;112.LBT.D100000002;112.BTV.D100000670;;0,23;Fachada;2,3;;;2.0TD;SMT;;9820;0;04/08/2022 14:43;;;870420,832;4089283,713;-199715,47;4110063,208;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000010400258GC0F;KAM0019878218;10400258;;;;335595,355;4082804,05;451;0484468018LB368768901;Málaga;Ardales;;;112.LBT.D100000002;112.BTV.D100000667;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870410,775;4089284,083;-199725,443;4110064,846;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000010400260GE;KAM0019150153;10400260;;;;335555,355;4082803,05;447;0484512857LB368768741;Málaga;Ardales;;;112.LBT.D100000002;112.BTV.D100000656;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870370,863;4089280,566;-199765,654;4110066,382;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000010400267MY;KAM0019878449;10400267;;;;335532,355;4082801,05;443,223;0484538608LB368768521;Málaga;Ardales;;;112.LBT.D100000002;112.BTV.D100000647;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;14/04/2022 7:36;;;870348,003;4089277,12;-199788,867;4110065,835;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000010400918XJ;KAM0027613829;10400918;;;;335515,355;4082789,05;438;0484557414LB368767410;Málaga;Ardales;;;112.LBT.D100000002;112.BTV.D100000635;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870331,769;4089264,057;-199806,691;4110054,87;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000010400925XC;KAM0026733715;10400925;;;;335565,355;4082806,05;447;0484501707LB368769029;Málaga;Ardales;;;112.LBT.D100000002;112.BTV.D100000658;;0,23;Fachada;4,6;;;2.0TD;SMT;;9820;0;05/08/2022 13:34;;;870380,668;4089284,194;-199755,427;4110068,758;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000010401957DV0F;28734477;1041957;;;;335492,355;4082780,05;439;0484583013LB368766559;Málaga;Ardales;;;112.LBT.D100000002;112.BTV.D100000607;;0,23;Fachada;3,45;;;2.0TD;MEC;;9820;0;10/03/2022 11:13;;;870309,35;4089253,615;-199830,348;4110047,297;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000010500291FA0F;KAM0027594720;10500291;;;;335598,356;4082926,05;415;0484467297LB368779898;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000182;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870406,096;4089406,196;-199714,685;4110187,107;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000010500293FM0F;KAM0027612923;10500293;;;;335606,356;4082919,05;415;0484458173LB368779281;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000178;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870414,531;4089399,704;-199707,1;4110179,573;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000010500297FD0F;14697778;10500297;;;;335618,356;4082907,05;420;0484444455LB368778221;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000170;;0,23;Fachada;2,3;;;;MEC;;9820;0;31/05/2021 21:58;;;870427,279;4089388,467;-199695,817;4110166,767;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000010500300FN0F;KAM0027612261;10500300;;;;335632,356;4082897,05;416,078;0484428537LB368777344;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000164;;0,23;Fachada;2,3;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870441,9;4089379,354;-199682,401;4110155,841;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000010500307FL0F;14697785;10500307;;;;335657,356;4082881,05;424;0484400152LB368775946;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000160;;0,23;Fachada;3,45;;;2.0TD;MEC;;9820;0;31/05/2021 21:58;;;870467,891;4089364,938;-199658,324;4110138,195;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000010500309FK0F;KAM0027594531;10500309;;;;335665,356;4082875,04;424;0484391050LB368775420;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000101;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870476,265;4089359,435;-199650,676;4110131,655;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000010500311PT0F;KAM0027613476;10500311;;;;335671,355;4082872,04;424;0484384257LB368775160;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000098;;0,23;Fachada;4,6;;;2.0TD;SMT;;9820;0;24/08/2022 14:28;;;870482,449;4089356,814;-199644,845;4110128,263;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000010500312PR0F;KAM0019248312;10500312;;;;335676,355;4082869,04;420,643;0484378584LB368774898;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000096;;0,23;Fachada;2,3;;;2.0TD;SMT;;9820;0;28/06/2022 11:09;;;870487,634;4089354,131;-199640,017;4110124,934;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000010500317PY;KAM0027594785;10500317;;;;335698,355;4082854,04;423,92;0484353586LB368773585;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000072;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870510,565;4089340,525;-199618,888;4110108,482;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000010500318PF0F;15583958;10500318;;;;335706,355;4082850,04;430;0484344527LB368773238;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000076;;0,23;Fachada;3,46;;;2.0TD;MEC;;9820;0;29/08/2022 12:24;;;870518,812;4089337,031;-199611,113;4110103,959;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000010500319PP;19592830;10500319;;;;335722,355;4082842,04;430;0484326410LB368772545;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000080;;0,23;Fachada;2,3;;;2.0TD;MEC;;9820;0;31/05/2021 21:58;;;870535,305;4089330,043;-199595,561;4110094,914;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000010500322PB0F;KAM0027594555;10500322;;;;335732,355;4082839,04;428;0484315129LB368772292;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000086;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870545,488;4089327,674;-199585,715;4110091,268;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000010500324PJ0F;KAM0027613610;10500324;;;;335708,355;4082840,04;430;0484342067LB368772341;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000124;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870521,44;4089327,163;-199609,74;4110093,795;;;;CT28 DEPOSITO AGUA;;;
