R1;Identificador;Identificador plan inversión;Padre;Denominación tramo;Número;Acometida;Código acometida;Tensión explotación (kV);Tensión construcción (kV);Longitud calculada (m);Longitud real (m);Situación;Tipo fase;Fase;Conductor;Sección del conductor (mm2);Intensidad máxima (A);Capacidad máxima (kVA);Capacidad calculada (kVA);Resistencia (Ω);Reactancia (Ω);Nº circuitos;Nº conductores;Fecha APM;Fecha baja;Fecha cesión;Fecha última inversión;Propiedad;% Financiado;Coordenada X inicio;Coordenada Y inicio;Coordenada Z inicio;Coordenada X fin;Coordenada Y fin;Coordenada Z fin;Nudo inicio;Nudo fin;CT AA;CCAA inicio;CCAA fin;Municipio;Provincia;Parroquia/población;Punto frontera;Titular;Expediente/CIE;Observaciones;Arqueta/apoyo Inicio;Arqueta/apoyo Fin;Nº segmentos;Borrado;Coordenada X inicio Z29;Coordenada Y inicio Z29;Coordenada X fin Z29;Coordenada Y fin Z29;Coordenada X inicio Z31;Coordenada Y inicio Z31;Coordenada X fin Z31;Coordenada Y fin Z31;Sustituye a;Sustituido por;Inspección;Excluido conectividad;Digitalizar;Presentar retribución
R1-112;'112.BTV.D100000392;;'112.LBT.D100000002;LP45 DEPÓSITO AGUA * Vano: 22-36;'22-36;No;;0,4;0,4;18,60107524;18,601;Fachada;Trifásico;;MANGUERA CU(4X6);6;83,8;58,05834307;;3,39;0,11;1;Simplex;9/2/1995, 0:00:00;;;;Propio;90;335553,354;4082640,0441;459;335568,354;4082651,0439;459;0484511567LB368754051;0484494983LB368755068;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;;;1;;870379,1227;4089117,5357;870393,4211;4089129,4728;-199778,012;4109902,9003;-199762,2581;4109912,9885;;;;;;
R1-112;'112.BTV.D100000347;;'112.LBT.D200000129;LP36 CANTARRA,PRADO, AND NAVARRE * V: 252-253;'252-253;No;;0,4;0,4;2,23606798;2,236;Fachada;Trifásico;;MANGUERA CU(4X10);10;111,8;77,45731211;;1,9500000000000002;0,11;1;Simplex;9/2/1995, 0:00:00;;;;Propio;100;335551,356;4082852,0466;431;335549,356;4082853,0464;431;0484518404LB368773149;0484520669LB368773236;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;;;1;;870363,7828;4089329,2805;870361,7211;4089330,1538;-199766,5575;4110115,814;-199768,5014;4110116,9445;;;;;;
R1-112;'112.BTV.D100000016;;'112.LBT.D200000129;LP36 CANTARRA,PRADO, AND NAVARRE * V: 28-29;'28-29;No;;0,4;0,4;5,65685425;5,657;Subterránea;Trifásico;;RV 4X50 AL;50;120;83,13843876;;0,387;0,1;1;Simplex;9/2/1995, 0:00:00;;;;Propio;100;335755,355;4082808,0416;431;335751,355;4082804,0423;431;0484288663LB368769539;0484293063LB368769172;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;112.ARQ.SG000556552;112.ARQ.SG000556549;1;;870570,4247;4089298,1426;870566,6788;4089293,894;-199564,5979;4110058,6944;-199568,8667;4110054,9342;;;;;;
R1-112;'112.BTV.D100000308;;'112.LBT.D200000129;LP36 CANTARRA,PRADO, AND NAVARRE * V: 213-214;'213-214;No;;0,4;0,4;7,21110255;7,211;Fachada;Trifásico;;MANGUERA CU(4X10);10;111,8;77,45731211;;1,9500000000000002;0,11;1;Simplex;9/2/1995, 0:00:00;;;;Propio;100;335597,355;4082835,0452;440;335601,355;4082829,0455;440;0484466447LB368771697;0484461831LB368771164;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;;;1;;870410,8232;4089315,1849;870415,1983;4089309,4407;-199721,4678;4110095,8292;-199717,8339;4110089,5534;;;;;;
R1-112;'112.BTV.D100000221;;'112.LBT.D200000129;LP36 CANTARRA,PRADO, AND NAVARRE * V: 137-AC1;'137-AC1;Sí;112-02802116;0,4;0,4;2;2;Fachada;Trifásico;;MANGUERA CU(4X10);10;111,8;77,45731211;;1,9500000000000002;0,11;1;Simplex;9/2/1995, 0:00:00;;;;Propio;100;335565,356;4082889,047;419;335565,356;4082887,047;419;0484503505LB368776507;0484503462LB368776327;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;;;1;;870375,4452;4089367,1391;870375,5711;4089365,1403;-199750,1565;4110152,0624;-199750,2835;4110150,055;;;;;;
R1-112;'112.BTV.D100000191;;'112.LBT.D200000129;LP36 CANTARRA,PRADO, AND NAVARRE * V: 121-122;'121-122;No;;0,4;0,4;5,65685425;5,657;Fachada;Monofásico;;MANGUERA CU(2X4);4;43,2;29,92983795;;5,09;0,12000000000000001;1;Simplex;9/2/1995, 0:00:00;;;;Propio;100;335615,356;4082901,0463;420;335619,356;4082897,0456;420;0484447689LB368777675;0484443116LB368777322;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;;;1;;870424,6588;4089382,2779;870428,9082;4089378,5314;-199699,2097;4110160,9315;-199695,4489;4110156,662;;;;;;
R1-112;'112.BTV.T100000091;;'112.LBT.D200000129;LP36 CANTARRA,PRADO, AND NAVARRE * V: 47-AC2;'47-AC2;Sí;112-04405042;0,4;0,4;2,23597854;2,236;Subterránea;Monofásico;;MANGUERA CU(2X16);16;177,8;123,18345343;;1,22;0,11;1;Simplex;9/2/1995, 0:00:00;;;;Propio;100;335764,355;4082783,042;430;335763,355;4082781,0424;430;0484278028LB368767302;0484279107LB368767121;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;112.ARQ.SG000556563;;1;;870580,9926;4089273,7249;870580,1191;4089271,6636;-199557,1519;4110033,0309;-199558,2825;4110031,0874;;;;;;
R1-112;'112.BTV.D100000297;;'112.LBT.D200000129;LP36 CANTARRA,PRADO, AND NAVARRE * V: 202-203;'202-203;No;;0,4;0,4;3,60546807;10,63;Fachada;Trifásico;;MANGUERA CU(4X10);10;111,8;77,45731211;;1,9500000000000002;0,11;1;Simplex;9/2/1995, 0:00:00;;;;Propio;100;335657,355;4082783,0441;447;335655,355;4082786,0439;447;0484398030LB368767116;0484400338LB368767383;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;;;1;;870474,0588;4089266,9925;870471,8712;4089269,8646;-199664,5474;4110039,8264;-199666,3644;4110042,9643;;;;;;
R1-112;'112.BTV.D100000481;;'112.LBT.D200000129;LP36 CANTARRA,PRADO, AND NAVARRE * V: 208-AC1;'208-AC1;Sí;112-02802174;0,4;0,4;1,41421356;1,4140000000000001;Fachada;Monofásico;;MANGUERA (2X6);6;55;38,10511777;;3,39;0,11;1;Simplex;9/2/1995, 0:00:00;;;;Propio;100;335659,355;4082786,0444;447;335660,355;4082787,0439;447;0484395852LB368767390;0484394752LB368767482;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;;;1;;870475,8688;4089270,1168;870476,8052;4089271,1786;-199662,3495;4110042,7107;-199661,2823;4110043,6505;;;;;;
R1-112;'112.BTV.D100000688;;'112.LBT.D100000002;LP45 DEPÓSITO AGUA * Vano: 167-168;'167-168;No;;0,4;0,4;6,40312424;6,4030000000000005;Fachada;Trifásico;;MANGUERA CU(4X16);16;146,1;101,22104919;;1,22;0,11;1;Simplex;9/2/1995, 0:00:00;;;;Propio;90;335454,355;4082697,0465;438;335449,355;4082693,0467;438;0484623830LB368759015;0484629350LB368758645;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;;;1;;870276,5978;4089168,2719;870271,8527;4089163,9598;-199873,7583;4109966,399;-199879,0308;4109962,7017;;;;;;
R1-112;'112.BTV.D100000405;;'112.LBT.D100000002;LP45 DEPÓSITO AGUA * Vano: 48-49;'48-49;No;;0,4;0,4;5;'7,8100000000000005;Fachada;Trifásico;;MANGUERA CU(4X6);6;83,8;58,05834307;;3,39;0,11;1;Simplex;9/2/1995, 0:00:00;;;;Propio;90;335546,355;4082685,0454;457;335549,355;4082681,0451;457;0484520392LB368758094;0484516941LB368757738;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;;;1;;870369,2958;4089162,0686;870372,5457;4089158,2596;-199782,1798;4109948,5125;-199779,4227;4109944,3069;;;;;;
R1-112;'112.BTV.D100000298;;'112.LBT.D200000129;LP36 CANTARRA,PRADO, AND NAVARRE * V: 203-204;'203-204;No;;0,4;0,4;5,8310033500000005;5,831;Fachada;Trifásico;;MANGUERA CU(4X10);10;111,8;77,45731211;;1,9500000000000002;0,11;1;Simplex;9/2/1995, 0:00:00;;;;Propio;100;335655,355;4082786,0439;447;335650,355;4082789,044;447;0484400338LB368767383;0484406010LB368767645;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;;;1;;870471,8712;4089269,8646;870466,6856;4089272,5481;-199666,3644;4110042,9643;-199671,1923;4110046,2929;;;;;;
R1-112;'112.BTV.D100000624;;'112.LBT.D100000002;LP45 DEPÓSITO AGUA * Vano: 130-AC1;'130-AC1;Sí;112-02804096;0,4;0,4;1;1;Fachada;Monofásico;;MANGUERA CU(2X4);4;43,2;29,92983795;;5,09;0,12000000000000001;1;Simplex;9/2/1995, 0:00:00;;;;Propio;90;335513,355;4082767,0459;443;335514,355;4082767,0465;443;0484559179LB368765424;0484558058LB368765426;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;;;1;;870331,1553;4089241,941;870332,1547;4089242,0046;-199810,0958;4110032,9115;-199809,092;4110032,8486;;;;;;
R1-112;'112.BTV.D100000020;;'112.LBT.D200000129;LP36 CANTARRA,PRADO, AND NAVARRE * V: 30-AC2;'30-AC2;Sí;112-02802022;0,4;0,4;7,61577311;7,616;Subterránea;Monofásico;;MANGUERA CU(2X16);16;177,8;123,18345343;;1,22;0,11;1;Simplex;9/2/1995, 0:00:00;;;;Propio;100;335742,355;4082794,0417;435;335739,355;4082787,0419;435;0484302940LB368768255;0484306153LB368767619;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;112.ARQ.SG000556539;;1;;870558,3139;4089283,3332;870555,7563;4089276,1489;-199578,5349;4110045,4681;-199581,9904;4110038,6328;;;;;;
R1-112;'112.BTV.D100000212;;'112.LBT.D200000129;LP36 CANTARRA,PRADO, AND NAVARRE * V: 133-134;'133-134;No;;0,4;0,4;3,6055512800000002;3,606;Fachada;Monofásico;;MANGUERA CU(2X6);6;114,3;'79,18936292000001;;3,39;0,11;1;Simplex;9/2/1995, 0:00:00;;;;Propio;100;335571,356;4082909,0466;414;335573,356;4082912,0468;414;0484497210LB368778319;0484495032LB368778593;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;;;1;;870380,1826;4089387,5039;870381,9926;4089390,6281;-199742,8645;4110171,755;-199740,6667;4110174,6394;;;;;;
R1-112;'112.BTV.D100000720;;'112.LBT.D100000002;LP45 DEPÓSITO AGUA * Vano: 186-187;'186-187;No;;0,4;0,4;3,60563448;3,606;Fachada;Trifásico;;MANGUERA CU(4X10);10;111,8;77,45731211;;1,9500000000000002;0,11;1;Simplex;9/2/1995, 0:00:00;;;;Propio;90;335418,355;4082668,0468;438;335420,355;4082665,047;438;0484663574LB368756339;0484661266LB368756072;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;;;1;;870242,4454;4089137,0245;870244,633;4089134,1524;-199911,7327;4109939,5775;-199909,9157;4109936,4396;;;;;;
